종목명,현재가,대비,대비(%),거래량,L(일봉)H,종목코드,거래량 (G),거래대금(만원) (H),매출액 영업이익률(%) (L),결산기준 (L),매출액 순이익률(%) (M),결산기준 (M),매출액(백만원) (A1),결산기준 (A1),매출액(백만원) (B1),결산기준 (B1),매출액(백만원) (C1),결산기준 (C1)
DL,"78,300","-2,000",-2.49,"341,200",-2.49,A000210,"341,200","2,665,082",11.65,Dec-19,7.32,Dec-19,"9,700,078",Dec-19,"10,984,485",Dec-18,"12,335,536",Dec-17
유유제약,"12,400",-250,-1.98,"33,195",-1.98,A000220,"33,195","41,476",8.89,Dec-19,6.12,Dec-19,"90,877",Dec-19,"83,096",Dec-18,"62,852",Dec-17
한국앤컴퍼니,"17,000",-300,-1.73,"350,644",-1.73,A000240,"350,644","590,353",20.16,Dec-19,19.26,Dec-19,"847,609",Dec-19,"847,957",Dec-18,"824,846",Dec-17
삼천당제약,"55,800","-3,200",-5.42,"821,467",-5.42,A000250,"821,467","4,551,879",13.51,Dec-19,10.5,Dec-19,"186,602",Dec-19,"159,960",Dec-18,"160,587",Dec-17
SK하이닉스,"140,000","-2,000",-1.41,"6,091,444",-1.41,A000660,"6,091,444","84,427,125",10.05,Dec-19,7.47,Dec-19,"26,990,733",Dec-19,"40,445,066",Dec-18,"30,109,434",Dec-17
DB하이텍,"53,600",-300,-0.56,"1,267,242",-0.56,A000990,"1,267,242","6,655,919",22.45,Dec-19,12.96,Dec-19,"807,416",Dec-19,"669,279",Dec-18,"679,737",Dec-17
백광산업,"3,700",50,1.37,"434,544",1.37,A001340,"434,544","156,690",12.59,Dec-19,9.52,Dec-19,"168,389",Dec-19,"175,487",Dec-18,"144,980",Dec-17
KG케미칼,"25,850",-600,-2.27,"247,946",-2.27,A001390,"247,946","636,125",5.7,Dec-19,10.6,Dec-19,"2,068,395",Dec-19,"1,282,776",Dec-18,"1,099,484",Dec-17
현대차증권,"12,200",-250,-2.01,"128,757",-2.01,A001500,"128,757","155,567",13.75,Dec-19,10.03,Dec-19,"716,183",Dec-19,"618,985",Dec-18,"521,345",Dec-17
한양증권,"10,250",-50,-0.49,"21,098",-0.49,A001750,"21,098","21,388",9.53,Dec-19,7.14,Dec-19,"310,407",Dec-19,"205,081",Dec-18,"170,617",Dec-17
오리온홀딩스,"13,950",-50,-0.36,"143,101",-0.36,A001800,"143,101","198,638",12.68,Dec-19,7.43,Dec-19,"2,103,591",Dec-19,"1,997,682",Dec-18,"112,748",Dec-17
삼화콘덴서,"68,200",-600,-0.87,"90,952",-0.87,A001820,"90,952","612,961",14.65,Dec-19,11.72,Dec-19,"254,537",Dec-19,"274,444",Dec-18,"199,316",Dec-17
대림건설,"29,500",-100,-0.34,"87,977",-0.34,A001880,"87,977","255,002",11.17,Dec-19,7.43,Dec-19,"1,279,913",Dec-19,"965,572",Dec-18,"858,626",Dec-17
아세아제지,"44,200",900,2.08,"83,115",2.08,A002310,"83,115","370,251",10.19,Dec-19,8.81,Dec-19,"697,656",Dec-19,"775,844",Dec-18,"728,592",Dec-17
넥센타이어,"7,950",-170,-2.09,"250,703",-2.09,A002350,"250,703","198,490",10.25,Dec-19,5.86,Dec-19,"2,022,338",Dec-19,"1,983,976",Dec-18,"1,964,792",Dec-17
한독,"27,100",-150,-0.55,"62,127",-0.55,A002390,"62,127","166,899",5.8,Dec-19,7.17,Dec-19,"473,000",Dec-19,"446,731",Dec-18,"417,970",Dec-17
신풍제지,"2,930",20,0.69,"897,103",0.69,A002870,"897,103","263,343",7.24,Dec-19,12.46,Dec-19,"156,878",Dec-19,"154,107",Dec-18,"144,277",Dec-17
대웅,"34,600","-1,100",-3.08,"336,904",-3.08,A003090,"336,904","1,161,258",7.87,Dec-19,5.22,Dec-19,"1,365,679",Dec-19,"1,231,290",Dec-18,"1,123,956",Dec-17
대원제약,"16,200",-400,-2.41,"95,798",-2.41,A003220,"95,798","155,328",11.05,Dec-19,8.46,Dec-19,"317,827",Dec-19,"286,652",Dec-18,"265,462",Dec-17
쌍용양회,"6,820",-10,-0.15,"1,483,012",-0.15,A003410,"1,483,012","1,004,532",14.85,Dec-19,8.55,Dec-19,"1,538,480",Dec-19,"1,509,985",Dec-18,"1,517,139",Dec-17
한화투자증권,"2,710",-40,-1.45,"1,458,403",-1.45,A003530,"1,458,403","391,079",7.12,Dec-19,6.26,Dec-19,"1,571,216",Dec-19,"1,901,879",Dec-18,"1,712,750",Dec-17
LG,"90,800","-1,200",-1.3,"387,743",-1.3,A003550,"387,743","3,510,704",15.57,Dec-19,16.82,Dec-19,"6,575,339",Dec-19,"7,743,355",Dec-18,"11,841,058",Dec-17
포스코케미칼,"161,000","2,000",1.26,"655,354",1.26,A003670,"655,354","10,393,297",6.05,Dec-19,6.82,Dec-19,"1,483,769",Dec-19,"1,383,593",Dec-18,"1,197,158",Dec-17
